time_s,flux_Wb,emf_V,current_A,power_W,cumulative_energy_J
0.0338,-0.10307487,-81.787411,-6.815618,557.431722,10.55167868
0.0339,-0.09484662,-82.764195,-6.897016,570.826,10.60823315
0.034,-0.08652476,-83.659301,-6.971608,583.239882,10.66606862
0.0341,-0.07811751,-84.471844,-7.03932,594.624376,10.7250841
0.0342,-0.06963317,-85.201025,-7.100085,604.934552,10.78517391
0.0343,-0.06108011,-85.846122,-7.153844,614.129722,10.84622815
0.0344,-0.05246677,-86.406499,-7.200542,622.173596,10.9081331
0.0345,-0.04380165,-86.881604,-7.240134,629.034429,10.97077169
0.0346,-0.03509331,-87.270967,-7.272581,634.685143,11.03402395
0.0347,-0.02635033,-87.574204,-7.29785,639.103438,11.0977675
0.0348,-0.01758135,-87.791016,-7.315918,642.271878,11.16187801
0.0349,-0.00879501,-87.921189,-7.326766,644.177957,11.2262297
0.035,0.0,-87.964594,-7.330383,644.814154,11.29069584
0.0351,0.00879501,-87.921189,-7.326766,644.177957,11.35514926
0.0352,0.01758135,-87.791016,-7.315918,642.271878,11.41946283
0.0353,0.02635033,-87.574204,-7.29785,639.103438,11.48350997
0.0354,0.03509331,-87.270967,-7.272581,634.685143,11.54716515
0.0355,0.04380165,-86.881604,-7.240134,629.034429,11.6103044
0.0356,0.05246677,-86.406499,-7.200542,622.173596,11.67280577
0.0357,0.06108011,-85.846122,-7.153844,614.129722,11.73454984
0.0358,0.06963317,-85.201025,-7.100085,604.934552,11.79542017
0.0359,0.07811751,-84.471844,-7.03932,594.624376,11.85530378
0.036,0.08652476,-83.659301,-6.971608,583.239882,11.91409157
0.0361,0.09484662,-82.764195,-6.897016,570.826,11.97167877
0.0362,0.10307487,-81.787411,-6.815618,557.431722,12.02796535
0.0363,0.11120141,-80.729913,-6.727493,543.109909,12.08285641
0.0364,0.1192182,-79.592745,-6.632729,527.917083,12.13626257
0.0365,0.12711734,-78.377027,-6.531419,511.913202,12.18810028
0.0366,0.13489103,-77.083962,-6.423663,495.161428,12.23829222
0.0367,0.1425316,-75.714823,-6.309569,477.727871,12.28676753
0.0368,0.1500315,-74.270963,-6.189247,459.681334,12.33346215
0.0369,0.15738335,-72.753807,-6.062817,441.093038,12.37831903
0.037,0.16457987,-71.164852,-5.930404,422.036343,12.42128838
0.0371,0.17161398,-69.505665,-5.792139,402.586457,12.46232786
0.0372,0.17847872,-67.777885,-5.648157,382.820139,12.50140275
0.0373,0.18516732,-65.983216,-5.498601,362.815399,12.53848607
0.0374,0.19167319,-64.12343,-5.343619,342.651185,12.57355872
0.0375,0.1979899,-62.200361,-5.183363,322.407077,12.60660951
0.0376,0.20411122,-60.215908,-5.017992,302.162969,12.63763525
0.0377,0.2100311,-58.17203,-4.847669,281.998756,12.66664074
0.0378,0.21574371,-56.070743,-4.672562,261.994015,12.69363874
0.0379,0.2212434,-53.91412,-4.492843,242.227697,12.71864994
0.038,0.22652476,-51.704291,-4.308691,222.777811,12.74170287
0.0381,0.23158256,-49.443436,-4.120286,203.721116,12.7628338
0.0382,0.23641182,-47.133787,-3.927816,185.13282,12.78208657
0.0383,0.24100777,-44.777622,-3.731468,167.086283,12.79951244
0.0384,0.24536587,-42.377266,-3.531439,149.652726,12.81516987
0.0385,0.24948183,-39.93509,-3.327924,132.900952,12.82912432
0.0386,0.25335157,-37.453503,-3.121125,116.897072,12.84144794
0.0387,0.2569713,-34.934953,-2.911246,101.704246,12.85221934
0.0388,0.26033742,-32.381927,-2.698494,87.382433,12.86152326
0.0389,0.26344662,-29.796944,-2.483079,73.988155,12.86945021
0.039,0.26629582,-27.182555,-2.265213,61.574273,12.87609615
0.0391,0.26888223,-24.541339,-2.045112,50.189779,12.88156208
0.0392,0.27120329,-21.875905,-1.822992,39.879602,12.88595369
0.0393,0.27325669,-19.188882,-1.599073,30.684432,12.88938086
0.0394,0.27504043,-16.482921,-1.373577,22.640558,12.89195733
0.0395,0.27655274,-13.760694,-1.146725,15.779726,12.89380016
0.0396,0.27779212,-11.024887,-0.918741,10.129011,12.89502931
0.0397,0.27875735,-8.2782,-0.68985,5.710716,12.89576718
0.0398,0.27944748,-5.523343,-0.460279,2.542276,12.89613809
0.0399,0.27986184,-2.763035,-0.230253,0.636197,12.89626781
0.04,0.28,-0.0,-0.0,0.0,12.89628308
0.0401,0.27986184,2.763035,0.230253,0.636197,12.89631108
0.0402,0.27944748,5.523343,0.460279,2.542276,12.89647893
0.0403,0.27875735,8.2782,0.68985,5.710716,12.89691321
0.0404,0.27779212,11.024887,0.918741,10.129011,12.89773944
0.0405,0.27655274,13.760694,1.146725,15.779726,12.89908161
0.0406,0.27504043,16.482921,1.373577,22.640558,12.90106165
0.0407,0.27325669,19.188882,1.599073,30.684432,12.90379899
0.0408,0.27120329,21.875905,1.822992,39.879602,12.90741007
0.0409,0.26888223,24.541339,2.045112,50.189779,12.91200788
0.041,0.26629582,27.182555,2.265213,61.574273,12.91770151
0.0411,0.26344662,29.796944,2.483079,73.988155,12.92459572
0.0412,0.26033742,32.381927,2.698494,87.382433,12.93279056
0.0413,0.2569713,34.934953,2.911246,101.704246,12.94238091
0.0414,0.25335157,37.453503,3.121125,116.897072,12.95345617
0.0415,0.24948183,39.93509,3.327924,132.900952,12.96609987
